Server,Sets,Games,Points,info,left_win,first,first_f,second,second_f
Kei Nishikori,0‑0,0‑0,0‑0,"1st serve wide; forehand return down the middle (shallow); forehand approach shot inside-out; backhand crosscourt, forced error.",True,W,,,
Kei Nishikori,0‑0,0‑0,15‑0,"1st serve down the T; forehand return, forced error.",True,T,,,
Kei Nishikori,0‑0,0‑0,30‑0,"1st serve wide; forehand return down the line, forced error.",True,W,,,
Kei Nishikori,0‑0,0‑0,40‑0,"1st serve wide; backhand return crosscourt (deep); backhand down the middle; forehand crosscourt; forehand chip/slice crosscourt, forced error. (4-shot rally)",False,W,,,
Kei Nishikori,0‑0,0‑0,40‑15,"1st serve to body; backhand return inside-in (shallow); backhand crosscourt; backhand slice crosscourt; backhand approach shot crosscourt, winner. (5-shot rally)",True,B,,,
,,,,,,,,,
Alexander Zverev,0‑0,0‑1,0‑0,"1st serve down the T, fault (long). 2nd serve down the T; backhand return approach shot crosscourt (very deep); backhand slice down the middle, forced error.",False,T,L,T,
Alexander Zverev,0‑0,0‑1,0‑15,"1st serve to body, fault (long). 2nd serve down the T, ace.",True,B,L,T,
Alexander Zverev,0‑0,0‑1,15‑15,"1st serve wide; forehand return down the middle (shallow); backhand approach shot crosscourt, winner.",True,W,,,
Alexander Zverev,0‑0,0‑1,30‑15,"1st serve down the T, fault (long). 2nd serve wide; backhand return crosscourt (very deep); backhand down the middle; backhand down the middle; forehand crosscourt; forehand down the line (net), unforced error. (5-shot rally)",True,T,L,W,
Alexander Zverev,0‑0,0‑1,40‑15,"1st serve wide; forehand return down the middle, forced error.",True,W,,,
,,,,,,,,,
Kei Nishikori,0‑0,1‑1,0‑0,"1st serve down the T; backhand slice return, forced error.",True,T,,,
Kei Nishikori,0‑0,1‑1,15‑0,"1st serve down the T, fault (long). 2nd serve wide; backhand return crosscourt (very deep); backhand crosscourt; backhand crosscourt; backhand down the line; forehand chip/slice crosscourt; forehand crosscourt, forced error. (6-shot rally)",False,T,L,W,
Kei Nishikori,0‑0,1‑1,15‑15,"1st serve wide; forehand return down the middle (very deep); backhand crosscourt; backhand down the middle; backhand crosscourt; backhand crosscourt (long), unforced error. (5-shot rally)",True,W,,,
Kei Nishikori,0‑0,1‑1,30‑15,"1st serve wide, fault (net). 2nd serve wide; backhand return down the middle, forced error.",True,W,N,W,
Kei Nishikori,0‑0,1‑1,40‑15,"1st serve down the T; backhand return down the middle (very deep); forehand crosscourt; forehand crosscourt; forehand down the middle; backhand crosscourt; backhand down the line (net), unforced error. (6-shot rally)",False,T,,,
Kei Nishikori,0‑0,1‑1,40‑30,"1st serve to body; backhand return down the middle, forced error.",True,B,,,
,,,,,,,,,
Alexander Zverev,0‑0,1‑2,0‑0,"1st serve to body; backhand return inside-in (shallow); backhand approach shot crosscourt; backhand slice down the middle; forehand volley crosscourt, winner. (5-shot rally)",True,B,,,
Alexander Zverev,0‑0,1‑2,15‑0,"1st serve wide, fault (net). 2nd serve wide; backhand return down the middle (deep); forehand inside-out; backhand crosscourt; backhand crosscourt; backhand crosscourt; backhand drop shot down the line (net), unforced error. (6-shot rally)",False,W,N,W,
Alexander Zverev,0‑0,1‑2,15‑15,"1st serve wide; forehand return down the middle, forced error.",True,W,,,
Alexander Zverev,0‑0,1‑2,30‑15,"1st serve wide, fault (net). 2nd serve wide; backhand return down the middle (deep); forehand down the middle; backhand inside-out (wide), unforced error.",True,W,N,W,
Alexander Zverev,0‑0,1‑2,40‑15,"1st serve down the T, fault (wide). 2nd serve wide; forehand return down the middle (very deep); backhand down the middle; backhand crosscourt; backhand crosscourt; backhand down the line (long), unforced error. (5-shot rally)",True,T,W,W,
,,,,,,,,,
Kei Nishikori,0‑0,2‑2,0‑0,"1st serve to body; backhand return down the middle (very deep); forehand inside-out; backhand crosscourt; backhand crosscourt; backhand down the line, forced error. (5-shot rally)",True,B,,,
Kei Nishikori,0‑0,2‑2,15‑0,"1st serve wide; backhand return crosscourt (shallow); backhand down the line, winner.",True,W,,,
Kei Nishikori,0‑0,2‑2,30‑0,"1st serve wide; forehand return down the middle (deep); backhand down the middle; backhand slice inside-out; forehand down the line; backhand crosscourt; backhand crosscourt; backhand crosscourt; backhand slice crosscourt; backhand down the line, winner. (10-shot rally)",False,W,,,
Kei Nishikori,0‑0,2‑2,30‑15,"1st serve wide; backhand slice return crosscourt, forced error.",True,W,,,
Kei Nishikori,0‑0,2‑2,40‑15,"1st serve down the T; backhand return down the middle (very deep); forehand crosscourt (net), unforced error.",False,T,,,
